Site,Date,Quad,Size,Sex,Eggs
Scituate,6/15/20,2,34.8,M,0
Bristol,6/4/20,1,32,M,0
Scituate,5/4/20,2,31.5,M,0
Scituate,6/29/20,3,31.2,F,1
Scituate,6/15/20,1,31,M,0
Bristol,10/17/20,2,30.6,F,0
Scituate,5/4/20,3,30,M,0
Scituate,10/19/20,2,29.7,M,0
Scituate,6/1/20,1,29.5,M,0
Bristol,6/18/20,1,29.5,M,0
Bristol,8/20/20,3,29.5,M,0
Scituate,10/5/20,1,29,M,0
Bristol,10/17/20,1,29,M,0
Bristol,6/18/20,2,28.9,M,0
Bristol,8/20/20,1,28.5,M,0
Scituate,6/15/20,2,28.4,F,1
Bristol,9/19/20,2,28.4,M,0
Scituate,10/5/20,2,28.4,F,1
Scituate,5/18/20,2,28.3,M,0
Scituate,6/1/20,1,28.1,M,0
Bristol,7/2/20,3,28.1,M,0
Scituate,7/27/20,1,28.1,M,0
Bristol,9/3/20,2,28,M,0
Scituate,7/27/20,1,27.9,M,0
Bristol,10/17/20,3,27.9,M,0
Bristol,8/20/20,1,27.8,M,0
Bristol,8/20/20,2,27.8,M,0
Scituate,6/15/20,2,27.7,M,0
Bristol,7/2/20,3,27.7,M,0
Scituate,7/27/20,1,27.7,F,1
Scituate,4/14/20,3,27.6,M,0
Scituate,4/14/20,3,27.6,M,0
Bristol,6/4/20,1,27.6,M,0
Scituate,10/19/20,1,27.6,F,0
Bristol,8/20/20,2,27.5,F,0
Scituate,5/4/20,2,27.4,M,0
Scituate,10/5/20,3,27.4,M,0
Bristol,8/20/20,3,27.1,M,0
Scituate,10/19/20,2,27.1,M,0
Bristol,6/18/20,2,27,M,0
Bristol,8/20/20,2,27,M,0
Bristol,5/19/20,1,26.9,F,0
Bristol,10/17/20,3,26.9,M,0
Scituate,6/15/20,2,26.8,M,0
Bristol,8/20/20,1,26.8,M,0
Scituate,6/15/20,3,26.7,M,0
Bristol,6/18/20,2,26.7,F,1
Bristol,10/17/20,3,26.7,F,0
Scituate,10/19/20,3,26.7,M,0
Bristol,6/4/20,1,26.6,M,0
Scituate,8/10/20,3,26.6,F,1
Bristol,8/20/20,1,26.6,M,0
Bristol,10/17/20,1,26.6,M,0
Bristol,8/20/20,1,26.5,M,0
Scituate,8/21/20,1,26.5,M,0
Scituate,5/18/20,3,26.4,M,0
Scituate,10/5/20,2,26.4,M,0
Bristol,10/17/20,2,26.4,F,0
Bristol,10/17/20,3,26.4,F,0
Bristol,8/20/20,1,26.3,M,0
Scituate,5/18/20,3,26.2,M,0
Scituate,9/20/20,1,26.2,M,0
Bristol,8/20/20,1,26.1,M,0
Scituate,9/20/20,2,26.1,M,0
Scituate,10/5/20,3,26.1,M,0
Scituate,5/18/20,3,26,M,0
Bristol,6/4/20,1,26,M,0
Bristol,7/2/20,3,26,M,0
Scituate,7/13/20,1,26,M,0
Bristol,9/3/20,2,26,M,0
Scituate,9/20/20,1,26,M,0
Scituate,6/15/20,2,25.9,M,0
Scituate,5/4/20,2,25.8,F,0
Scituate,6/1/20,2,25.8,M,0
Bristol,10/17/20,3,25.8,M,0
Bristol,6/18/20,1,25.7,M,0
Scituate,7/27/20,1,25.7,F,1
Bristol,7/30/20,2,25.7,M,0
Scituate,8/21/20,1,25.7,M,0
Scituate,9/2/20,3,25.7,M,0
Scituate,5/4/20,2,25.6,F,0
Scituate,6/15/20,2,25.6,M,0
Bristol,7/2/20,3,25.6,M,0
Scituate,5/4/20,1,25.5,F,0
Scituate,6/1/20,1,25.5,F,0
Bristol,6/4/20,1,25.5,M,0
Bristol,8/20/20,3,25.5,M,0
Scituate,10/19/20,1,25.5,M,0
Scituate,6/15/20,2,25.4,M,0
Scituate,9/20/20,3,25.4,F,0
Bristol,10/17/20,2,25.4,F,0
Bristol,10/17/20,2,25.4,F,0
Bristol,10/17/20,3,25.4,M,0
Bristol,8/20/20,3,25.3,M,0
Scituate,10/19/20,1,25.3,M,0
Scituate,10/19/20,1,25.3,M,0
Scituate,5/4/20,1,25.2,M,0
Bristol,9/3/20,2,25.2,F,1
Scituate,9/20/20,1,25.2,M,0
Bristol,6/4/20,1,25.1,M,0
Bristol,7/30/20,2,25.1,M,0
Bristol,10/17/20,1,25.1,F,0
Scituate,4/14/20,3,25,F,0
Scituate,6/1/20,1,25,M,0
Bristol,6/4/20,1,25,M,0
Bristol,6/4/20,1,25,M,0
Bristol,7/2/20,2,25,M,0
Scituate,7/13/20,3,25,M,0
Scituate,7/27/20,1,25,M,0
Scituate,7/27/20,2,25,M,0
Bristol,7/30/20,3,25,M,0
Bristol,8/20/20,1,25,M,0
Bristol,8/20/20,2,25,M,0
Bristol,9/3/20,1,25,M,0
Bristol,10/3/20,3,25,F,0
Scituate,10/5/20,2,25,F,0
Bristol,10/17/20,3,25,M,0
Scituate,5/4/20,3,24.9,M,0
Scituate,5/18/20,3,24.9,M,0
Bristol,8/20/20,1,24.9,M,0
Scituate,9/2/20,3,24.9,M,0
Bristol,9/3/20,2,24.9,M,0
Bristol,9/3/20,2,24.9,F,1
Scituate,5/4/20,1,24.8,F,0
Scituate,6/15/20,2,24.8,F,1
Bristol,6/18/20,3,24.8,M,0
Scituate,9/2/20,2,24.8,M,0
Bristol,10/17/20,1,24.8,F,0
Bristol,6/18/20,2,24.7,F,0
Scituate,4/14/20,3,24.6,M,0
Scituate,5/4/20,1,24.6,F,0
Scituate,5/4/20,3,24.6,F,0
Bristol,6/4/20,1,24.6,M,0
Bristol,6/18/20,2,24.6,M,0
Bristol,6/18/20,2,24.6,M,0
Scituate,9/2/20,2,24.6,M,0
Bristol,10/17/20,2,24.6,M,0
Scituate,5/4/20,2,24.5,F,0
Scituate,6/15/20,1,24.5,F,1
Bristol,6/18/20,2,24.5,M,0
Bristol,8/20/20,2,24.5,M,0
Bristol,8/20/20,3,24.5,M,0
Bristol,9/3/20,1,24.5,F,1
Scituate,9/20/20,3,24.5,M,0
Bristol,10/17/20,2,24.5,F,0
Bristol,10/17/20,2,24.5,F,0
Bristol,6/18/20,2,24.3,F,1
Bristol,6/18/20,2,24.3,M,0
Scituate,7/13/20,1,24.3,M,0
Scituate,7/27/20,3,24.3,M,0
Scituate,7/27/20,3,24.3,M,0
Bristol,8/20/20,1,24.3,M,0
Bristol,8/20/20,1,24.3,M,0
Scituate,9/20/20,2,24.3,M,0
Bristol,6/18/20,2,24.2,M,0
Scituate,9/20/20,1,24.2,M,0
Bristol,6/4/20,2,24.1,M,0
Scituate,6/15/20,1,24.1,M,0
Bristol,8/20/20,2,24.1,M,0
Scituate,9/2/20,1,24.1,M,0
Bristol,10/17/20,3,24.1,F,0
Scituate,5/4/20,2,24,M,0
Scituate,5/18/20,3,24,M,0
Bristol,5/19/20,1,24,M,0
Scituate,6/1/20,2,24,M,0
Scituate,6/15/20,2,24,F,1
Bristol,6/18/20,2,24,M,0
Scituate,8/10/20,3,24,F,1
Bristol,9/3/20,1,24,M,0
Bristol,10/17/20,3,24,F,0
Scituate,5/4/20,2,23.9,M,0
Scituate,5/4/20,3,23.9,F,0
Bristol,8/20/20,2,23.9,M,0
Bristol,8/20/20,3,23.9,F,1
Scituate,9/2/20,1,23.9,M,0
Bristol,10/17/20,2,23.9,M,0
Bristol,7/16/20,3,23.8,F,0
Scituate,8/10/20,3,23.8,M,0
Bristol,8/20/20,2,23.8,M,0
Bristol,8/20/20,3,23.8,M,0
Scituate,8/21/20,1,23.8,F,1
Bristol,10/17/20,2,23.8,F,0
Scituate,10/19/20,1,23.8,F,0
Scituate,6/15/20,1,23.7,M,0
Bristol,7/2/20,2,23.7,M,0
Scituate,5/4/20,3,23.6,M,0
Bristol,6/18/20,1,23.6,M,0
Bristol,6/18/20,1,23.6,M,0
Bristol,8/20/20,1,23.6,M,0
Bristol,8/20/20,2,23.6,F,1
Scituate,8/21/20,2,23.6,M,0
Scituate,5/4/20,3,23.5,F,0
Scituate,8/10/20,3,23.5,M,0
Bristol,8/20/20,1,23.5,M,0
Scituate,9/20/20,2,23.5,M,0
Scituate,10/5/20,1,23.5,M,0
Scituate,10/19/20,1,23.5,M,0
Bristol,6/4/20,1,23.4,M,0
Scituate,6/15/20,2,23.4,M,0
Bristol,6/18/20,2,23.4,M,0
Bristol,6/18/20,2,23.4,M,0
Scituate,8/10/20,2,23.4,F,1
Bristol,8/20/20,2,23.4,F,0
Bristol,9/3/20,2,23.4,M,0
Bristol,9/3/20,3,23.4,M,0
Bristol,10/17/20,1,23.4,M,0
Scituate,4/14/20,3,23.3,F,0
Scituate,5/18/20,3,23.3,M,0
Scituate,7/13/20,3,23.3,F,1
Bristol,10/17/20,2,23.3,F,0
Bristol,10/17/20,2,23.3,F,0
Bristol,10/17/20,3,23.3,F,0
Scituate,10/19/20,1,23.3,M,0
Scituate,5/18/20,3,23.2,F,0
Bristol,6/4/20,1,23.2,M,0
Bristol,7/2/20,2,23.2,M,0
Scituate,9/2/20,1,23.2,M,0
Bristol,9/3/20,3,23.2,M,0
Bristol,10/17/20,2,23.2,M,0
Bristol,10/17/20,3,23.2,M,0
Bristol,6/18/20,2,23.1,M,0
Bristol,7/30/20,1,23.1,M,0
Bristol,8/20/20,1,23.1,M,0
Bristol,8/20/20,1,23.1,F,0
Bristol,9/19/20,2,23.1,M,0
Bristol,10/17/20,2,23.1,F,0
Scituate,4/14/20,3,23,M,0
Bristol,6/18/20,2,23,M,0
Bristol,6/18/20,2,23,M,0
Scituate,7/13/20,2,23,F,1
Bristol,8/20/20,1,23,M,0
Bristol,8/20/20,2,23,M,0
Bristol,8/20/20,2,23,M,0
Bristol,9/3/20,1,23,M,0
Bristol,9/3/20,2,23,M,0
Scituate,10/5/20,2,23,M,0
Bristol,10/17/20,2,23,F,0
Bristol,9/3/20,3,22.9,M,0
Scituate,4/14/20,3,22.8,F,0
Scituate,5/4/20,1,22.8,M,0
Scituate,5/18/20,2,22.8,F,0
Bristol,6/4/20,1,22.8,F,1
Bristol,6/4/20,1,22.8,M,0
Scituate,6/15/20,3,22.8,M,0
Bristol,6/18/20,1,22.8,M,0
Bristol,6/18/20,2,22.8,M,0
Bristol,6/18/20,2,22.8,M,0
Scituate,8/21/20,2,22.8,M,0
Bristol,10/17/20,1,22.8,M,0
Bristol,10/17/20,2,22.8,F,0
Scituate,4/14/20,3,22.7,M,0
Bristol,7/2/20,1,22.7,M,0
Bristol,7/2/20,3,22.7,M,0
Scituate,7/13/20,2,22.7,M,0
Bristol,9/3/20,1,22.7,M,0
Bristol,10/3/20,1,22.7,F,0
Scituate,5/4/20,3,22.6,M,0
Scituate,5/18/20,3,22.6,M,0
Bristol,6/18/20,3,22.6,M,0
Bristol,7/30/20,2,22.6,F,0
Bristol,8/20/20,1,22.6,F,1
Scituate,8/21/20,3,22.6,M,0
Bristol,9/3/20,3,22.6,F,0
Bristol,10/3/20,2,22.6,F,0
Scituate,10/5/20,2,22.6,M,0
Bristol,10/17/20,1,22.6,F,0
Bristol,10/17/20,2,22.6,F,0
Bristol,10/17/20,3,22.6,F,0
Scituate,10/19/20,1,22.6,F,0
Scituate,4/14/20,2,22.5,M,0
Scituate,5/18/20,2,22.5,M,0
Bristol,6/18/20,2,22.5,M,0
Scituate,7/27/20,3,22.5,F,0
Bristol,8/20/20,1,22.5,M,0
Bristol,8/20/20,2,22.5,M,0
Bristol,8/20/20,3,22.5,M,0
Scituate,9/20/20,3,22.5,M,0
Scituate,10/5/20,2,22.5,F,0
Bristol,10/17/20,2,22.5,F,0
Bristol,10/17/20,2,22.5,F,0
Bristol,10/17/20,3,22.5,F,0
Bristol,10/17/20,3,22.5,F,0
Bristol,10/17/20,3,22.5,F,0
Scituate,4/14/20,1,22.4,F,0
Scituate,6/15/20,1,22.4,F,1
Bristol,6/18/20,1,22.4,M,0
Bristol,6/18/20,2,22.4,M,0
Bristol,6/18/20,3,22.4,M,0
Bristol,8/20/20,1,22.4,F,1
Scituate,8/21/20,1,22.4,M,0
Bristol,9/19/20,1,22.4,M,0
Bristol,9/19/20,3,22.4,M,0
Bristol,10/17/20,2,22.4,M,0
Bristol,10/17/20,3,22.4,F,0
Scituate,5/18/20,2,22.3,M,0
Bristol,6/4/20,1,22.3,M,0
Scituate,8/21/20,2,22.3,F,1
Bristol,9/3/20,1,22.3,F,0
Bristol,9/3/20,3,22.3,M,0
Bristol,9/19/20,2,22.3,F,0
Bristol,10/17/20,2,22.3,F,0
Bristol,10/17/20,2,22.3,F,0
Bristol,10/17/20,2,22.3,F,0
Scituate,6/15/20,3,22.2,F,1
Scituate,7/13/20,1,22.2,M,0
Bristol,8/20/20,1,22.2,M,0
Bristol,8/20/20,3,22.2,M,0
Bristol,9/3/20,1,22.2,M,0
Bristol,9/3/20,2,22.2,M,0
Bristol,10/17/20,2,22.2,F,0
Bristol,10/17/20,2,22.2,M,0
Scituate,10/19/20,1,22.2,M,0
Scituate,5/18/20,3,22.1,M,0
Bristol,6/18/20,3,22.1,M,0
Bristol,7/2/20,2,22.1,M,0
Bristol,7/16/20,2,22.1,M,0
Bristol,7/30/20,1,22.1,M,0
Bristol,8/20/20,1,22.1,M,0
Bristol,8/20/20,2,22.1,M,0
Bristol,9/3/20,1,22.1,M,0
Bristol,9/3/20,2,22.1,M,0
Bristol,9/3/20,3,22.1,M,0
Bristol,9/19/20,3,22.1,F,0
Scituate,9/20/20,1,22.1,F,0
Bristol,10/17/20,2,22.1,F,0
Scituate,4/14/20,3,22,M,0
Scituate,4/14/20,3,22,M,0
Scituate,5/4/20,2,22,M,0
Scituate,6/15/20,1,22,M,0
Scituate,6/15/20,2,22,F,1
Bristol,6/18/20,2,22,F,1
Bristol,6/18/20,3,22,F,0
Scituate,7/13/20,1,22,M,0
Scituate,7/27/20,1,22,F,1
Bristol,7/30/20,2,22,M,0
Bristol,8/20/20,2,22,M,0
Bristol,8/20/20,3,22,M,0
Bristol,8/20/20,3,22,M,0
Scituate,9/2/20,3,22,F,0
Bristol,9/3/20,1,22,F,1
Bristol,9/3/20,2,22,M,0
Bristol,10/3/20,1,22,M,0
Bristol,10/17/20,1,22,F,0
Bristol,10/17/20,1,22,F,0
Bristol,10/17/20,1,22,F,0
Bristol,10/17/20,1,22,F,0
Bristol,10/17/20,2,22,M,0
Bristol,10/17/20,3,22,F,0
Bristol,6/4/20,1,21.9,F,1
Bristol,6/18/20,2,21.9,F,1
Scituate,7/13/20,1,21.9,M,0
Scituate,7/13/20,1,21.9,M,0
Scituate,7/27/20,1,21.9,M,0
Bristol,8/20/20,2,21.9,M,0
Bristol,8/20/20,3,21.9,M,0
Bristol,10/17/20,2,21.9,F,0
Scituate,10/19/20,3,21.9,F,0
Scituate,4/14/20,3,21.8,M,0
Scituate,5/4/20,3,21.8,M,0
Bristol,6/18/20,2,21.8,M,0
Bristol,7/2/20,3,21.8,M,0
Scituate,7/27/20,2,21.8,M,0
Bristol,9/3/20,1,21.8,M,0
Bristol,9/3/20,1,21.8,M,0
Bristol,10/3/20,3,21.8,M,0
Bristol,10/17/20,1,21.8,F,0
Bristol,10/17/20,1,21.8,F,0
Bristol,10/17/20,3,21.8,F,0
Bristol,10/17/20,3,21.8,F,0
Bristol,8/20/20,2,21.7,M,0
Bristol,10/17/20,2,21.7,M,0
Bristol,10/17/20,3,21.7,M,0
Bristol,5/3/20,2,21.6,M,0
Scituate,6/1/20,2,21.6,F,0
Bristol,6/4/20,1,21.6,M,0
Bristol,6/4/20,1,21.6,M,0
Bristol,6/4/20,1,21.6,M,0
Bristol,6/4/20,1,21.6,M,0
Scituate,6/15/20,1,21.6,F,1
Scituate,6/15/20,2,21.6,F,1
Scituate,6/15/20,3,21.6,M,0
Bristol,6/18/20,2,21.6,F,1
Scituate,7/13/20,2,21.6,M,0
Scituate,7/27/20,2,21.6,M,0
Bristol,8/20/20,2,21.6,M,0
Bristol,8/20/20,2,21.6,M,0
Bristol,8/20/20,2,21.6,M,0
Bristol,8/20/20,3,21.6,M,0
Scituate,8/21/20,2,21.6,M,0
Bristol,9/3/20,1,21.6,M,0
Bristol,9/3/20,1,21.6,M,0
Scituate,10/5/20,3,21.6,M,0
Bristol,10/17/20,3,21.6,M,0
Bristol,10/17/20,3,21.6,F,0
Bristol,10/17/20,3,21.6,F,0
Bristol,10/17/20,3,21.6,F,0
Scituate,5/4/20,2,21.5,F,0
Scituate,6/1/20,1,21.5,M,0
Bristol,6/4/20,1,21.5,M,0
Bristol,6/4/20,1,21.5,M,0
Bristol,6/4/20,2,21.5,M,0
Bristol,6/18/20,2,21.5,F,1
Bristol,7/2/20,2,21.5,M,0
Scituate,7/27/20,1,21.5,F,1
Bristol,7/30/20,3,21.5,M,0
Bristol,8/20/20,1,21.5,M,0
Bristol,8/20/20,2,21.5,M,0
Bristol,9/3/20,1,21.5,F,0
Bristol,9/19/20,2,21.5,F,0
Scituate,9/20/20,2,21.5,F,0
Scituate,10/5/20,3,21.5,M,0
Bristol,10/17/20,1,21.5,M,0
Bristol,10/17/20,3,21.5,M,0
Bristol,10/17/20,3,21.5,F,0
Bristol,10/17/20,3,21.5,F,0
Scituate,4/14/20,3,21.4,F,0
Scituate,5/4/20,1,21.4,M,0
Bristol,9/19/20,3,21.4,M,0
Bristol,10/3/20,3,21.4,F,0
Bristol,10/17/20,1,21.4,M,0
Bristol,10/17/20,1,21.4,M,0
Scituate,10/19/20,2,21.4,F,0
Scituate,5/4/20,1,21.3,F,0
Bristol,7/2/20,3,21.3,M,0
Scituate,7/13/20,2,21.3,M,0
Bristol,7/16/20,3,21.3,M,0
Bristol,7/30/20,3,21.3,M,0
Scituate,8/10/20,2,21.3,M,0
Bristol,8/20/20,1,21.3,F,1
Bristol,8/20/20,2,21.3,M,0
Bristol,8/20/20,2,21.3,M,0
Bristol,8/20/20,3,21.3,M,0
Bristol,9/3/20,3,21.3,M,0
Scituate,10/5/20,1,21.3,F,0
Bristol,10/17/20,1,21.3,M,0
Bristol,10/17/20,1,21.3,F,0
Bristol,10/17/20,2,21.3,F,0
Bristol,10/17/20,3,21.3,F,0
Bristol,10/17/20,3,21.3,M,0
Bristol,6/4/20,1,21.2,M,0
Scituate,6/15/20,1,21.2,F,1
Bristol,6/18/20,1,21.2,M,0
Bristol,6/18/20,2,21.2,M,0
Bristol,6/18/20,3,21.2,M,0
Bristol,8/20/20,1,21.2,M,0
Bristol,8/20/20,2,21.2,M,0
Bristol,8/20/20,3,21.2,M,0
Scituate,8/21/20,1,21.2,M,0
Bristol,9/3/20,1,21.2,M,0
Bristol,9/19/20,2,21.2,M,0
Scituate,10/5/20,2,21.2,F,0
Bristol,10/17/20,3,21.2,M,0
Scituate,10/19/20,1,21.2,M,0
Scituate,4/14/20,3,21.1,M,0
Scituate,6/1/20,1,21.1,M,0
Scituate,6/1/20,1,21.1,M,0
Bristol,6/4/20,1,21.1,M,0
Bristol,6/18/20,2,21.1,M,0
Scituate,6/29/20,3,21.1,M,0
Bristol,7/2/20,1,21.1,M,0
Bristol,7/16/20,3,21.1,M,0
Scituate,7/27/20,3,21.1,M,0
Bristol,7/30/20,1,21.1,F,0
Bristol,7/30/20,3,21.1,F,0
Bristol,8/20/20,2,21.1,M,0
Bristol,8/20/20,2,21.1,M,0
Bristol,8/20/20,2,21.1,F,1
Bristol,8/20/20,2,21.1,M,0
Bristol,8/20/20,3,21.1,M,0
Bristol,8/20/20,3,21.1,M,0
Bristol,9/3/20,2,21.1,M,0
Bristol,9/3/20,2,21.1,F,0
Bristol,9/19/20,2,21.1,M,0
Scituate,9/20/20,1,21.1,M,0
Bristol,10/3/20,3,21.1,F,0
Bristol,10/3/20,3,21.1,F,0
Scituate,5/4/20,2,21,M,0
Scituate,5/4/20,3,21,M,0
Scituate,5/18/20,2,21,M,0
Scituate,6/1/20,1,21,M,0
Scituate,6/15/20,2,21,F,1
Scituate,6/15/20,3,21,M,0
Bristol,6/18/20,2,21,M,0
Bristol,6/18/20,2,21,M,0
Bristol,6/18/20,3,21,M,0
Scituate,6/29/20,3,21,M,0
Scituate,7/13/20,3,21,M,0
Scituate,7/27/20,2,21,M,0
Bristol,7/30/20,3,21,M,0
Bristol,8/20/20,3,21,F,1
Scituate,9/2/20,3,21,F,0
Bristol,9/19/20,2,21,M,0
Bristol,9/19/20,3,21,M,0
Scituate,10/5/20,1,21,M,0
Scituate,10/5/20,2,21,F,0
Bristol,10/17/20,1,21,F,0
Bristol,10/17/20,2,21,M,0
Bristol,10/17/20,2,21,F,0
Bristol,10/17/20,3,21,F,0
Bristol,10/17/20,3,21,F,0
Scituate,10/19/20,1,21,M,0
Scituate,5/18/20,3,20.9,F,0
Scituate,6/15/20,1,20.9,F,1
Bristol,7/16/20,1,20.9,F,0
Scituate,7/27/20,3,20.9,M,0
Bristol,7/30/20,1,20.9,M,0
Bristol,8/20/20,1,20.9,M,0
Bristol,8/20/20,2,20.9,M,0
Bristol,8/20/20,2,20.9,M,0
Scituate,8/21/20,2,20.9,M,0
Scituate,8/21/20,3,20.9,F,0
Scituate,9/2/20,3,20.9,M,0
Bristol,9/19/20,1,20.9,M,0
Scituate,9/20/20,3,20.9,F,0
Bristol,10/17/20,2,20.9,M,0
Bristol,10/17/20,2,20.9,F,0
Scituate,5/4/20,3,20.8,M,0
Scituate,6/15/20,1,20.8,F,1
Scituate,6/29/20,1,20.8,M,0
Bristol,7/2/20,3,20.8,M,0
Bristol,7/16/20,1,20.8,F,0
Bristol,7/16/20,3,20.8,M,0
Bristol,8/20/20,2,20.8,F,1
Bristol,8/20/20,3,20.8,M,0
Bristol,8/20/20,3,20.8,M,0
Scituate,9/2/20,3,20.8,F,1
Bristol,9/3/20,2,20.8,F,0
Bristol,10/3/20,3,20.8,F,0
Bristol,10/3/20,3,20.8,F,0
Bristol,10/17/20,2,20.8,M,0
Bristol,10/17/20,2,20.8,F,0
Bristol,10/17/20,3,20.8,M,0
Bristol,5/3/20,2,20.7,M,0
Scituate,5/4/20,3,20.7,M,0
Scituate,5/18/20,3,20.7,F,0
Scituate,6/15/20,1,20.7,F,1
Bristol,6/18/20,1,20.7,M,0
Bristol,6/18/20,3,20.7,M,0
Bristol,7/2/20,3,20.7,M,0
Scituate,7/13/20,1,20.7,F,1
Scituate,7/13/20,1,20.7,M,0
Bristol,7/16/20,2,20.7,M,0
Bristol,7/30/20,2,20.7,F,0
Bristol,8/20/20,2,20.7,M,0
Bristol,8/20/20,2,20.7,M,0
Bristol,8/20/20,3,20.7,M,0
Scituate,8/21/20,2,20.7,M,0
Scituate,8/21/20,3,20.7,M,0
Bristol,9/3/20,1,20.7,M,0
Bristol,9/3/20,2,20.7,M,0
Scituate,9/20/20,1,20.7,M,0
Bristol,10/3/20,2,20.7,M,0
Bristol,10/17/20,2,20.7,F,0
Bristol,10/17/20,2,20.7,F,0
Bristol,10/17/20,3,20.7,M,0
Scituate,5/18/20,2,20.6,M,0
Scituate,5/18/20,3,20.6,F,1
Scituate,5/18/20,3,20.6,M,0
Bristol,6/4/20,1,20.6,M,0
Scituate,6/15/20,2,20.6,F,1
Scituate,6/15/20,2,20.6,F,1
Bristol,6/18/20,1,20.6,M,0
Bristol,6/18/20,2,20.6,M,0
Scituate,7/13/20,2,20.6,M,0
Scituate,7/13/20,3,20.6,F,1
Bristol,7/16/20,1,20.6,M,0
Bristol,7/16/20,3,20.6,F,0
Bristol,7/16/20,3,20.6,F,0
Bristol,7/30/20,1,20.6,F,0
Bristol,8/20/20,1,20.6,M,0
Bristol,8/20/20,2,20.6,M,0
Bristol,9/3/20,1,20.6,F,1
Bristol,9/3/20,1,20.6,M,0
Bristol,9/3/20,2,20.6,M,0
Bristol,9/3/20,2,20.6,F,0
Bristol,9/3/20,3,20.6,F,1
Bristol,9/19/20,3,20.6,M,0
Bristol,10/3/20,3,20.6,F,0
Scituate,10/5/20,2,20.6,F,0
Bristol,10/17/20,2,20.6,F,0
Bristol,10/17/20,3,20.6,M,0
Bristol,10/17/20,3,20.6,M,0
Bristol,10/17/20,3,20.6,M,0
Scituate,5/4/20,2,20.5,F,0
Bristol,6/4/20,1,20.5,F,1
Bristol,6/4/20,1,20.5,M,0
Bristol,6/18/20,1,20.5,M,0
Scituate,6/29/20,1,20.5,M,0
Bristol,7/2/20,1,20.5,M,0
Bristol,7/2/20,3,20.5,M,0
Bristol,7/30/20,1,20.5,F,0
Bristol,7/30/20,1,20.5,F,0
Scituate,8/10/20,3,20.5,M,0
Bristol,8/20/20,1,20.5,F,0
Bristol,8/20/20,1,20.5,F,1
Bristol,8/20/20,2,20.5,F,1
Bristol,8/20/20,2,20.5,F,1
Scituate,8/21/20,2,20.5,F,0
Scituate,9/2/20,2,20.5,F,0
Scituate,9/2/20,3,20.5,F,0
Bristol,9/3/20,1,20.5,M,0
Bristol,9/3/20,1,20.5,M,0
Bristol,9/19/20,2,20.5,F,0
Bristol,9/19/20,3,20.5,M,0
Bristol,9/19/20,3,20.5,M,0
Bristol,10/3/20,3,20.5,M,0
Bristol,10/17/20,2,20.5,M,0
Bristol,10/17/20,2,20.5,M,0
Bristol,10/17/20,3,20.5,F,0
Scituate,10/19/20,1,20.5,F,0
Scituate,4/14/20,3,20.4,F,0
Scituate,5/4/20,2,20.4,M,0
Scituate,5/18/20,3,20.4,M,0
Bristol,6/4/20,1,20.4,F,1
Bristol,6/4/20,2,20.4,M,0
Bristol,6/4/20,2,20.4,M,0
Bristol,6/18/20,1,20.4,F,1
Bristol,6/18/20,2,20.4,M,0
Bristol,7/2/20,3,20.4,M,0
Bristol,7/2/20,3,20.4,M,0
Bristol,7/2/20,3,20.4,M,0
Bristol,7/30/20,2,20.4,M,0
Bristol,7/30/20,2,20.4,M,0
Scituate,8/10/20,1,20.4,M,0
Bristol,8/20/20,1,20.4,M,0
Bristol,8/20/20,2,20.4,M,0
Bristol,8/20/20,3,20.4,F,1
Scituate,9/2/20,3,20.4,F,0
Bristol,9/3/20,3,20.4,M,0
Bristol,10/17/20,2,20.4,F,0
Bristol,10/17/20,3,20.4,M,0
Scituate,4/14/20,3,20.3,M,0
Scituate,6/15/20,2,20.3,M,0
Bristol,7/2/20,3,20.3,M,0
Scituate,7/13/20,2,20.3,F,1
Scituate,7/13/20,3,20.3,M,0
Bristol,7/30/20,2,20.3,F,0
Bristol,7/30/20,3,20.3,F,0
Bristol,8/20/20,1,20.3,M,0
Bristol,8/20/20,2,20.3,F,1
Bristol,8/20/20,3,20.3,M,0
Bristol,9/3/20,1,20.3,M,0
Bristol,9/3/20,2,20.3,M,0
Bristol,9/3/20,3,20.3,F,1
Bristol,9/19/20,2,20.3,M,0
Bristol,10/17/20,1,20.3,M,0
Bristol,10/17/20,1,20.3,M,0
Bristol,10/17/20,2,20.3,M,0
Bristol,10/17/20,2,20.3,F,0
Bristol,10/17/20,3,20.3,F,0
Bristol,10/17/20,3,20.3,F,0
Bristol,10/17/20,3,20.3,F,0
Scituate,4/14/20,3,20.2,F,0
Scituate,4/14/20,3,20.2,F,0
Scituate,5/18/20,3,20.2,F,0
Scituate,6/1/20,3,20.2,M,0
Bristol,6/4/20,1,20.2,M,0
Bristol,6/4/20,2,20.2,M,0
Scituate,6/15/20,2,20.2,F,1
Scituate,6/15/20,3,20.2,M,0
Bristol,6/18/20,2,20.2,M,0
Bristol,6/18/20,2,20.2,M,0
Bristol,7/2/20,3,20.2,M,0
Scituate,7/13/20,3,20.2,F,1
Bristol,8/20/20,1,20.2,M,0
Bristol,8/20/20,1,20.2,F,0
Bristol,8/20/20,2,20.2,M,0
Scituate,9/2/20,1,20.2,M,0
Scituate,9/2/20,3,20.2,F,0
Bristol,9/3/20,3,20.2,M,0
Bristol,9/19/20,2,20.2,F,0
Bristol,9/19/20,3,20.2,F,0
Bristol,9/19/20,3,20.2,F,1
Bristol,10/17/20,3,20.2,M,0
